ICD10_category;ICD10_name
N26;Unspecified contracted kidney
N27;Small kidney of unknown cause
N28;Oth disorders of kidney and ureter, not elsewhere classified
N29;Oth disorders of kidney and ureter in diseases classd elswhr
N30;Cystitis
N31;Neuromuscular dysfunction of bladder, NEC
N32;Other disorders of bladder
N33;Bladder disorders in diseases classified elsewhere
N34;Urethritis and urethral syndrome
N35;Urethral stricture
N36;Other disorders of urethra
N37;Urethral disorders in diseases classified elsewhere
N39;Other disorders of urinary system
N40;Enlarged prostate
N41;Inflammatory diseases of prostate
N42;Other and unspecified disorders of prostate
N43;Hydrocele and spermatocele
N44;Noninflammatory disorders of testis
N45;Orchitis and epididymitis
N46;Male infertility
N47;Disorders of prepuce
N48;Other disorders of penis
N49;Inflammatory disorders of male genital organs, NEC
N50;Other and unspecified disorders of male genital organs
N51;Disorders of male genital organs in diseases classd elswhr
N60;Benign mammary dysplasia
N61;Inflammatory disorders of breast
N62;Hypertrophy of breast
N63;Unspecified lump in breast
N64;Other disorders of breast
N70;Salpingitis and oophoritis
N71;Inflammatory disease of uterus, except cervix
N72;Inflammatory disease of cervix uteri
N73;Other female pelvic inflammatory diseases
N74;Female pelvic inflam disorders in diseases classd elswhr
N75;Diseases of Bartholin's gland
N76;Other inflammation of vagina and vulva
N77;Vulvovaginal ulceration and inflam in diseases classd elswhr
N80;Endometriosis
N81;Female genital prolapse
N82;Fistulae involving female genital tract
N83;Noninflammatory disord of ovary, fallop and broad ligament
N84;Polyp of female genital tract
N85;Other noninflammatory disorders of uterus, except cervix
N86;Erosion and ectropion of cervix uteri
N87;Dysplasia of cervix uteri
N88;Other noninflammatory disorders of cervix uteri
N89;Other noninflammatory disorders of vagina
N90;Other noninflammatory disorders of vulva and perineum
N91;Absent, scanty and rare menstruation
N92;Excessive, frequent and irregular menstruation
N93;Other abnormal uterine and vaginal bleeding
N94;Pain and oth cond assoc w fem gntl org and menstrual cycle
N95;Menopausal and other perimenopausal disorders
N96;Recurrent pregnancy loss
N97;Female infertility
N98;Complications associated with artificial fertilization
N99;Intraop and postproc comp and disorders of GU sys, NEC
O00;Ectopic pregnancy
O01;Hydatidiform mole
O02;Other abnormal products of conception
O03;Spontaneous abortion
O04;Complications following (induced) termination of pregnancy
O07;Failed attempted termination of pregnancy
O08;Complications following ectopic and molar pregnancy
O10;Pre-existing hypertension compl preg/chldbrth
O12;Gestational edema and proteinuria without hypertension
O13;Gestational hypertension without significant proteinuria
O14;Pre-eclampsia
O16;Unspecified maternal hypertension
O20;Hemorrhage in early pregnancy
O21;Excessive vomiting in pregnancy
O22;Venous complications and hemorrhoids in pregnancy
O23;Infections of genitourinary tract in pregnancy
O24;Diabetes in pregnancy, childbirth, and the puerperium
O25;Malnutrition in pregnancy, childbirth and the puerperium
O26;Maternal care for oth conditions predom related to pregnancy
O28;Abnormal findings on antenatal screening of mother
O30;Multiple gestation
O31;Complications specific to multiple gestation
O32;Maternal care for malpresentation of fetus
O33;Maternal care for disproportion
O34;Maternal care for abnormality of pelvic organs
O35;Maternal care for known or suspected fetal abnlt and damage
O36;Maternal care for other fetal problems
O40;Polyhydramnios
O41;Other disorders of amniotic fluid and membranes
O42;Premature rupture of membranes
O43;Placental disorders
O44;Placenta previa
O45;Premature separation of placenta [abruptio placentae]
O46;Antepartum hemorrhage, not elsewhere classified
O47;False labor
O48;Late pregnancy
O60;Preterm labor
O61;Failed induction of labor
O62;Abnormalities of forces of labor
O63;Long labor
O64;Obstructed labor due to malposition and malpresent of fetus
O65;Obstructed labor due to maternal pelvic abnormality
O66;Other obstructed labor
O67;Labor and delivery comp by intrapartum hemorrhage, NEC
O68;Labor and delivery comp by abnlt of fetal acid-base balance
O69;Labor and delivery complicated by umbilical cord comp
O70;Perineal laceration during delivery
O71;Other obstetric trauma
O72;Postpartum hemorrhage
O73;Retained placenta and membranes, without hemorrhage
O74;Complications of anesthesia during labor and delivery
O75;Oth complications of labor and delivery, NEC
O80;Encounter for full-term uncomplicated delivery
O82;Encounter for cesarean delivery without indication
O85;Puerperal sepsis
O86;Other puerperal infections
O87;Venous complications and hemorrhoids in the puerperium
O89;Complications of anesthesia during the puerperium
O90;Complications of the puerperium, not elsewhere classified
O91;Infect of breast assoc w pregnancy, the puerp and lactation
O92;Oth disord of brst/lactatn assoc w pregnancy and the puerp
O98;Matern infec/parastc dis classd elsw but compl preg/chldbrth
O99;Oth maternal diseases classd elsw but compl preg/chldbrth
P00;NB aff by matern cond that may be unrelated to present preg
P01;Newborn affected by maternal complications of pregnancy
P03;Newborn affected by oth complications of labor and delivery
P05;Disord of NB related to slow fetal growth and fetal malnut
P07;Disord of NB related to short gest and low birth weight, NEC
P11;Other birth injuries to central nervous system
P13;Birth injury to skeleton
P29;Cardiovascular disorders originating in the perinatal period
P39;Other infections specific to the perinatal period
P57;Kernicterus
P59;Neonatal jaundice from other and unspecified causes
P92;Feeding problems of newborn
Q00;Anencephaly and similar malformations
Q01;Encephalocele
Q04;Other congenital malformations of brain
Q05;Spina bifida
Q06;Other congenital malformations of spinal cord
Q10;Congenital malform of eyelid, lacrimal apparatus and orbit
Q11;Anophthalmos, microphthalmos and macrophthalmos
Q12;Congenital lens malformations
Q13;Congenital malformations of anterior segment of eye
Q14;Congenital malformations of posterior segment of eye
Q15;Other congenital malformations of eye
Q17;Other congenital malformations of ear
Q18;Other congenital malformations of face and neck
Q20;Congenital malformations of cardiac chambers and connections
Q21;Congenital malformations of cardiac septa
Q22;Congenital malformations of pulmonary and tricuspid valves
Q23;Congenital malformations of aortic and mitral valves
Q24;Other congenital malformations of heart
Q25;Congenital malformations of great arteries
Q26;Congenital malformations of great veins
Q27;Other congenital malformations of peripheral vascular system
Q28;Other congenital malformations of circulatory system
Q30;Congenital malformations of nose
Q33;Congenital malformations of lung
Q35;Cleft palate
Q36;Cleft lip
Q37;Cleft palate with cleft lip
Q38;Other congenital malformations of tongue, mouth and pharynx
Q39;Congenital malformations of esophagus
Q40;Other congenital malformations of upper alimentary tract
Q43;Other congenital malformations of intestine
Q44;Congenital malform of gallbladder, bile ducts and liver
Q45;Other congenital malformations of digestive system
Q50;Congen malform of ovaries, fallopian tubes & broad ligaments
Q51;Congenital malformations of uterus and cervix
Q52;Other congenital malformations of female genitalia
Q53;Undescended and ectopic testicle
Q54;Hypospadias
Q55;Other congenital malformations of male genital organs
Q60;Renal agenesis and other reduction defects of kidney
Q61;Cystic kidney disease
Q62;Congen defects of renal pelvis and congen malform of ureter
Q63;Other congenital malformations of kidney
Q64;Other congenital malformations of urinary system
Q65;Congenital deformities of hip
Q66;Congenital deformities of feet
Q67;Congenital ms deformities of head, face, spine and chest
Q68;Other congenital musculoskeletal deformities
Q69;Polydactyly
Q70;Syndactyly
Q72;Reduction defects of lower limb
Q74;Other congenital malformations of limb(s)
Q76;Congenital malformations of spine and bony thorax
Q78;Other osteochondrodysplasias
Q79;Congenital malformations of musculoskeletal system, NEC
Q80;Congenital ichthyosis
Q82;Other congenital malformations of skin
Q83;Congenital malformations of breast
Q85;Phakomatoses, not elsewhere classified
Q86;Congen malform syndromes due to known exogenous causes, NEC
Q87;Oth congenital malform syndromes affecting multiple systems
Q89;Other congenital malformations, not elsewhere classified
Q96;Turner's syndrome
Q99;Other chromosome abnormalities, not elsewhere classified
R00;Abnormalities of heart beat
R01;Cardiac murmurs and other cardiac sounds
R03;Abnormal blood-pressure reading, without diagnosis
R04;Hemorrhage from respiratory passages
R05;Cough
R06;Abnormalities of breathing
R07;Pain in throat and chest
R09;Oth symptoms and signs involving the circ and resp sys
R10;Abdominal and pelvic pain
R11;Nausea and vomiting
R12;Heartburn
R13;Aphagia and dysphagia
R14;Flatulence and related conditions
R15;Fecal incontinence
R16;Hepatomegaly and splenomegaly, not elsewhere classified
R17;Unspecified jaundice
R18;Ascites
R19;Oth symptoms and signs involving the dgstv sys and abdomen
R20;Disturbances of skin sensation
R21;Rash and other nonspecific skin eruption
R22;Localized swelling, mass and lump of skin, subcu
R23;Other skin changes
R25;Abnormal involuntary movements
R26;Abnormalities of gait and mobility
R27;Other lack of coordination
R29;Oth symptoms and signs involving the nervous and ms systems
R30;Pain associated with micturition
R31;Hematuria
R32;Unspecified urinary incontinence
R33;Retention of urine
R35;Polyuria
R36;Urethral discharge
R39;Oth and unsp symptoms and signs involving the GU sys
R40;Somnolence, stupor and coma
R41;Oth symptoms and signs w cognitive functions and awareness
R42;Dizziness and giddiness
R43;Disturbances of smell and taste
R44;Oth symptoms and signs w general sensations and perceptions
R45;Symptoms and signs involving emotional state
R46;Symptoms and signs involving appearance and behavior
R47;Speech disturbances, not elsewhere classified
R48;Dyslexia and oth symbolic dysfunctions, NEC
R49;Voice and resonance disorders
R50;Fever of other and unknown origin
R51;Headache
R52;Pain, unspecified
R53;Malaise and fatigue
R54;Age-related physical debility
R55;Syncope and collapse
R56;Convulsions, not elsewhere classified
R57;Shock, not elsewhere classified
R58;Hemorrhage, not elsewhere classified
R59;Enlarged lymph nodes
R60;Edema, not elsewhere classified
R61;Generalized hyperhidrosis
R63;Symptoms and signs concerning food and fluid intake
R64;Cachexia
R68;Other general symptoms and signs
R69;Illness, unspecified
R70;Elev erythro sedim and abnormality of plasma viscosity
R71;Abnormality of red blood cells
R73;Elevated blood glucose level
R74;Abnormal serum enzyme levels
R76;Other abnormal immunological findings in serum
R77;Other abnormalities of plasma proteins
R78;Find of drugs and oth substnc, not normally found in blood
R79;Other abnormal findings of blood chemistry
R80;Proteinuria
R81;Glycosuria
R82;Other and unspecified abnormal findings in urine
R87;Abnormal findings in specimens from female genital organs
R89;Abnormal findings in specimens from oth org/tiss
R90;Abnormal findings on diagnostic imaging of cnsl
R91;Abnormal findings on diagnostic imaging of lung
R92;Abnormal and inconclusive findings on dx imaging of breast
R93;Abnormal findings on diagnostic imaging of body structures
R94;Abnormal results of function studies
R99;Ill-defined and unknown cause of mortality
S00;Superficial injury of head
S01;Open wound of head
S02;Fracture of skull and facial bones
S03;Dislocation and sprain of joints and ligaments of head
S04;Injury of cranial nerve
S05;Injury of eye and orbit
S06;Intracranial injury
S09;Other and unspecified injuries of head
S10;Superficial injury of neck
S11;Open wound of neck
S12;Fracture of cervical vertebra and other parts of neck
S13;Dislocation and sprain of joints and ligaments at neck level
S14;Injury of nerves and spinal cord at neck level
S16;Injury of muscle, fascia and tendon at neck level
S19;Other specified and unspecified injuries of neck
S20;Superficial injury of thorax
S21;Open wound of thorax
S22;Fracture of rib(s), sternum and thoracic spine
S23;Dislocation and sprain of joints and ligaments of thorax
S24;Injury of nerves and spinal cord at thorax level
S27;Injury of other and unspecified intrathoracic organs
S29;Other and unspecified injuries of thorax
S30;Superfic inj abdomen, low back, pelvis and external genitals
S31;Opn wnd abdomen, lower back, pelvis and external genitals
S32;Fracture of lumbar spine and pelvis
S33;Disloc & sprain of joints & ligaments of lumbar spin & pelv
S34;Inj lower spinl cord and nrv at abd, low back and pelv level
S35;Inj blood vessels at abdomen, low back and pelvis level
S36;Injury of intra-abdominal organs
S37;Injury of urinary and pelvic organs
S38;Crush inj & traum amp of abd,low back, pelv & extrn genitals
S39;Oth & unsp injuries of abd, low back, pelv & extrn genitals
S40;Superficial injury of shoulder and upper arm
S41;Open wound of shoulder and upper arm
S42;Fracture of shoulder and upper arm
S43;Disloc and sprain of joints and ligaments of shoulder girdle
S44;Injury of nerves at shoulder and upper arm level
S46;Injury of muscle, fascia and tendon at shldr/up arm
S49;Other and unspecified injuries of shoulder and upper arm
S50;Superficial injury of elbow and forearm
S51;Open wound of elbow and forearm
S52;Fracture of forearm
S53;Dislocation and sprain of joints and ligaments of elbow
S54;Injury of nerves at forearm level
S56;Injury of muscle, fascia and tendon at forearm level
S57;Crushing injury of elbow and forearm
S59;Other and unspecified injuries of elbow and forearm
S60;Superficial injury of wrist, hand and fingers
S61;Open wound of wrist, hand and fingers
S62;Fracture at wrist and hand level
S63;Dislocation and sprain of joints and ligaments at wrs/hnd lv
S64;Injury of nerves at wrist and hand level
S66;Injury of muscle, fascia and tendon at wrist and hand level
S67;Crushing injury of wrist, hand and fingers
S68;Traumatic amputation of wrist, hand and fingers
S69;Other and unspecified injuries of wrist, hand and finger(s)
S70;Superficial injury of hip and thigh
S71;Open wound of hip and thigh
S72;Fracture of femur
S73;Dislocation and sprain of joint and ligaments of hip
S74;Injury of nerves at hip and thigh level
S76;Injury of muscle, fascia and tendon at hip and thigh level
S79;Other and unspecified injuries of hip and thigh
S80;Superficial injury of knee and lower leg
S81;Open wound of knee and lower leg
S82;Fracture of lower leg, including ankle
S83;Dislocation and sprain of joints and ligaments of knee
S84;Injury of nerves at lower leg level
S85;Injury of blood vessels at lower leg level
S86;Injury of muscle, fascia and tendon at lower leg level
S87;Crushing injury of lower leg
S89;Other and unspecified injuries of lower leg
S90;Superficial injury of ankle, foot and toes
S91;Open wound of ankle, foot and toes
S92;Fracture of foot and toe, except ankle
S93;Disloc & sprain of joints & ligaments at ankl, ft & toe lev
S94;Injury of nerves at ankle and foot level
S95;Injury of blood vessels at ankle and foot level
S96;Injury of muscle and tendon at ankle and foot level
S97;Crushing injury of ankle and foot
S99;Other and unspecified injuries of ankle and foot
T14;Injury of unspecified body region
T15;Foreign body on external eye
T16;Foreign body in ear
T17;Foreign body in respiratory tract
T18;Foreign body in alimentary tract
T19;Foreign body in genitourinary tract
T20;Burn and corrosion of head, face, and neck
T21;Burn and corrosion of trunk
T22;Burn and corrosion of shldr/up lmb, except wrist and hand
T23;Burn and corrosion of wrist and hand
T24;Burn and corrosion of lower limb, except ankle and foot
T25;Burn and corrosion of ankle and foot
T26;Burn and corrosion confined to eye and adnexa
T27;Burn and corrosion of respiratory tract
T28;Burn and corrosion of other internal organs
T30;Burn and corrosion, body region unspecified
T31;Burns classified accord extent body involv
T33;Superficial frostbite
T36;Systemic antibiotics
T38;Hormones and their synthetic substitutes and antag, NEC
T39;Nonopioid analgesics, antipyretics and antirheumatics
T40;Narcotics and psychodysleptics
T42;Antiepileptic, sedative- hypnotic and antiparkinsonism drugs
T43;Psychotropic drugs, not elsewhere classified
T44;Drugs primarily affecting the autonomic nervous system
T47;Agents primarily affecting the gastrointestinal system
T50;Diuretics and oth and unsp drug/meds/biol subst
T51;Toxic effect of alcohol
T54;Toxic effect of corrosive substances
T56;Toxic effect of metals
T58;Toxic effect of carbon monoxide
T59;Toxic effect of other gases, fumes and vapors
T62;Toxic effect of other noxious substances eaten as food
T63;Toxic effect of contact with venomous animals and plants
T67;Effects of heat and light
T69;Other effects of reduced temperature
T71;Asphyxiation
T75;Other and unspecified effects of other external causes
T78;Adverse effects, not elsewhere classified
T79;Certain early complications of trauma, NEC
T80;Comp following infusion, transfusion and theraputc injection
T81;Complications of procedures, not elsewhere classified
T82;Complications of cardiac and vascular prosth dev/grft
T83;Complications of genitourinary prosth dev/grft
T84;Complications of internal orthopedic prosth dev/grft
T85;Complications of internal prosth dev/grft
T86;Complications of transplanted organs and tissue
T87;Complications peculiar to reattachment and amputation
T88;Oth complications of surgical and medical care, NEC
V01;Pedestrian injured in collision with pedal cycle
V03;Pedestrian injured in collision w car, pick-up truck or van
V04;Pedestrian injured in collision w hv veh
V09;Pedestrian injured in other and unsp transport accidents
V11;Pedal cycle rider injured in collision with oth pedal cycle
V12;Pedal cycle rider injured in collision w 2/3-whl mv
V13;Pedal cycle rider injured pick-up truck, pk-up/van
V14;Pedal cycle rider injured in collision w hv veh
V17;Pedal cycle rider injured in collision w statnry object
V18;Pedal cycle rider injured in noncollision transport accident
V19;Pedl cyc rider injured in oth and unsp transport accidents
V23;Motorcycle rider injured pick-up truck, pick-up truck or van
V27;Motorcycle rider injured in collision w statnry object
V28;Motorcycle rider injured in noncollision transport accident
V32;Occupant of 3-whl mv injured in collision w 2/3-whl mv
V33;Occupant of 3-whl mv injured pick-up truck, pk-up/van
V43;Car occupant injured pick-up truck, pick-up truck or van
V44;Car occupant injured in collision w hv veh
V47;Car occupant injured in collision w statnry object
V48;Car occupant injured in noncollision transport accident
V49;Car occupant injured in other and unsp transport accidents
V53;Occupant of pk-up/van injured pick-up truck, pk-up/van
V64;Occupant of hv veh injured in collision w hv veh
V77;Bus occupant injured in collision w statnry object
V78;Bus occupant injured in noncollision transport accident
V79;Bus occupant injured in other and unsp transport accidents
V80;Animl-ridr or occ of anml-drn vehicle injured in trnsp acc
V82;Occupant of powered streetcar injured in transport accident
V85;Occupant of special construct vehicle injured in trnsp acc
V89;Motor- or nonmotor-vehicle accident, type of vehicle unsp
V90;Drowning and submersion due to accident to watercraft
V97;Other specified air transport accidents
V99;Unspecified transport accident
W00;Fall due to ice and snow
W01;Fall on same level from slipping, tripping and stumbling
W03;Oth fall on same level due to collision with another person
W04;Fall while being carried or supported by other persons
W06;Fall from bed
W07;Fall from chair
W08;Fall from other furniture
W09;Fall on and from playground equipment
W10;Fall on and from stairs and steps
W11;Fall on and from ladder
W13;Fall from, out of or through building or structure
W14;Fall from tree
W16;Fall, jump or diving into water
W17;Other fall from one level to another
W18;Other slipping, tripping and stumbling and falls
W19;Unspecified fall
W20;Struck by thrown, projected or falling object
W21;Striking against or struck by sports equipment
W22;Striking against or struck by other objects
W23;Caught, crushed, jammed or pinched in or between objects
W24;Contact w lifting and transmission devices, NEC
W25;Contact with sharp glass
W26;Contact with knife, sword or dagger
W27;Contact with nonpowered hand tool
W28;Contact with powered lawn mower
W29;Contact with oth powered hand tools and household machinery
W30;Contact with agricultural machinery
W31;Contact with other and unspecified machinery
W42;Exposure to noise
W45;Foreign body or object entering through skin
W49;Exposure to other inanimate mechanical forces
W50;Acc hit, strk, kick, twist, bite or scratch by another prsn
W51;Accidental striking against or bumped into by another person
W52;Crushed, pushed or stepped on by crowd or human stampede
W54;Contact with dog
W55;Contact with other mammals
W57;Bit/stung by nonvenom insect and oth nonvenomous arthropods
W59;Contact with other nonvenomous reptiles
W60;Contact w nonvenom plant thorns and spines and sharp leaves
W64;Exposure to other animate mechanical forces
W88;Exposure to ionizing radiation
W92;Exposure to excessive heat of man-made origin
W93;Exposure to excessive cold of man-made origin
W99;Exposure to other man-made environmental factors
X00;Exposure to uncontrolled fire in building or structure
X03;Exposure to controlled fire, not in building or structure
X04;Exposure to ignition of highly flammable material
X10;Contact with hot drinks, food, fats and cooking oils
X11;Contact with hot tap-water
X12;Contact with other hot fluids
X13;Contact with steam and other hot vapors
X15;Contact with hot household appliances
X16;Contact with hot heating appliances, radiators and pipes
X19;Contact with other heat and hot substances
X31;Exposure to excessive natural cold
X58;Exposure to other specified factors
X78;Intentional self-harm by sharp object
X99;Assault by sharp object
Y00;Assault by blunt object
Y04;Assault by bodily force
Y07;Perpetrator of assault, maltreatment and neglect
Y09;Assault by unspecified means
Y28;Contact with sharp object, undetermined intent
Y29;Contact with blunt object, undetermined intent
Y65;Other misadventures during surgical and medical care
Y76;Obstetric and gynecological devices assoc w incdt
Y77;Ophthalmic devices associated with adverse incidents
Y79;Orthopedic devices associated with adverse incidents
Y81;General- and plastic-surgery devices assoc w incdt
Y82;Oth and unsp medical devices associated w adverse incidents
Y83;Surg op & oth surg proc cause abn react/compl, w/o misadvnt
Y84;Oth medical procedures cause abn react/compl, w/o misadvnt
Y90;Evidence of alcohol involv determined by blood alcohol level
Z00;Encntr for general exam w/o complaint, susp or reprtd dx
Z01;Encntr for oth sp exam w/o complaint, suspected or reprtd dx
Z02;Encounter for administrative examination
Z03;Encntr for medical obs for susp diseases and cond ruled out
Z04;Encounter for examination and observation for other reasons
Z08;Encntr for follow-up exam after trtmt for malignant neoplasm
Z09;Encntr for f/u exam aft trtmt for cond oth than malig neoplm
Z11;Encounter for screening for infec/parastc diseases
Z12;Encounter for screening for malignant neoplasms
Z13;Encounter for screening for other diseases and disorders
Z20;Contact w and (suspected) exposure to communicable diseases
Z22;Carrier of infectious disease
Z23;Encounter for immunization
Z28;Immunization not carried out and underimmunization status
Z30;Encounter for contraceptive management
Z31;Encounter for procreative management
Z32;Encntr for preg test and chldbrth and childcare instruction
Z33;Pregnant state
Z34;Encounter for supervision of normal pregnancy
Z36;Encounter for antenatal screening of mother
Z37;Outcome of delivery
Z39;Encounter for maternal postpartum care and examination
Z40;Encounter for prophylactic surgery
Z41;Encntr for proc for purposes oth than remedying health state
Z42;Encntr for plast/recnst surg fol med proc or healed injury
Z45;Encounter for adjustment and management of implanted device
Z46;Encounter for fitting and adjustment of other devices
Z47;Orthopedic aftercare
Z48;Encounter for other postprocedural aftercare
Z49;Encounter for care involving renal dialysis
Z51;Encounter for other aftercare
Z52;Donors of organs and tissues
Z53;Persons encntr hlth serv for spec proc & trtmt, not crd out
Z56;Problems related to employment and unemployment
Z57;Occupational exposure to risk factors
Z60;Problems related to social environment
Z62;Problems related to upbringing
Z63;Oth prob rel to prim support group, inc family circumstances
Z64;Problems related to certain psychosocial circumstances
Z65;Problems related to other psychosocial circumstances
Z70;Counseling related to sexual attitude, behavior and orientn
Z71;Persons encntr health serv for oth cnsl and med advice, NEC
Z72;Problems related to lifestyle
Z73;Problems related to life management difficulty
Z74;Problems related to care provider dependency
Z75;Problems related to medical facilities and other health care
Z76;Persons encountering health services in other circumstances
Z80;Family history of primary malignant neoplasm
Z81;Family history of mental and behavioral disorders
Z82;Fam hx of certain disabil & chr dis (leading to disablement)
Z83;Family history of other specific disorders
Z84;Family history of other conditions
Z85;Personal history of malignant neoplasm
Z86;Personal history of certain other diseases
Z87;Personal history of other diseases and conditions
Z88;Allergy status to drug/meds/biol subst
Z89;Acquired absence of limb
Z90;Acquired absence of organs, not elsewhere classified
Z91;Personal risk factors, not elsewhere classified
Z92;Personal history of medical treatment
Z93;Artificial opening status
Z94;Transplanted organ and tissue status
Z95;Presence of cardiac and vascular implants and grafts
Z96;Presence of other functional implants
Z97;Presence of other devices
Z98;Other postprocedural states
Z99;Dependence on enabling machines and devices, NEC
